Year,Iteration,Alloy Name,Al,Co,Cr,Cu,Fe,Mn,Ni,V,VarvYS pred(MPa) at 298K,SFE_calc,VEC Avg,EDS Measured Atomic % Al ,EDS Measured Atomic % Co ,EDS Measured Atomic % Cr ,EDS Measured Atomic % Cu,EDS Measured Atomic % Fe ,EDS Measured Atomic % Mn,EDS Measured Atomic % Ni ,EDS Measured Atomic % V ,"Hardness, HV","SD, HV",Yield Strength (MPa),"SD, YS",UTS_True (Mpa),"SD, UTS",UTS/YS,"SD, UTS/YS",Elong_T (%),"SD, Elong%",Hardness (GPa) SRJT,"SD, Hardness",Modulus (GPa) SRJT,"SD, Modulus",Avg Hdyn (GPa) HSR,"SD, Avg Hdyn",Avg Hqs (GPa) HSR,"SD, Avg Hqs",Avg HDYN/HQS,"Std, Hdyn/Hqs",Indentation Depth (µm),Depth of Penetration (mm) FE_Sim,Grain Size (µm),Cracked,Processing,Recrystallization,XRD Phase,Tension Test Designation,Grain Size(um),Notes
1,AAA,AAA01,0,45,10,0,20,0,15,10,248.2045893,-85.33,510,0 ,44.4 ,10.4 ,0,20.3 ,0,14.5 ,10.3 ,225.8,5.6,487,14.8,839,5.9,1.72,0.05,25.7,2.6,2.62,0.12,190.02,11.79,,,,,,,,,,0,Forged,No Treatment,FCC,Ductile,N/A,
1,AAA,AAA02,0,30,10,0,5,0,45,10,244.4242487,-19.13,660,0 ,30.2 ,10.4 ,0,5.2 ,0,43.9 ,10.4 ,257.4,16.0,537,11,829,43.3,1.54,0.09,20.8,1.7,2.85,0.34,195.4,9.1,,,,,,,,,,0,Forged,No Treatment,FCC,Ductile,N/A,
1,AAA,AAA03,0,30,5,0,30,0,20,15,275.6920066,-58.22,605,0 ,29.8 ,5.3 ,0,30.1 ,0,19.5 ,15.3 ,227.2,8.7,427,14.1,721,20.9,1.69,0.07,22.1,1.9,2.4,0.12,189.61,8.42,,,,,,,,,,0,Forged,No Treatment,FCC,Ductile,N/A,
1,AAA,AAA04,0,25,10,0,20,0,40,5,173.2094365,1.64,695,0 ,25.2 ,10.4 ,0,20.2 ,0,39.0 ,5.2 ,187.0,10.1,383,33.5,621,50.2,1.62,0.18,19.5,0.3,2.31,0.13,189.31,6.19,,,,,,,,,,0,Forged,No Treatment,FCC,Ductile,N/A,
1,AAA,AAA05,0,10,10,0,55,0,25,0,77.58102447,11.39,770,0 ,10.1 ,10.6 ,0,54.8 ,0,24.5 ,0 ,149.5,4.2,310,12.3,446,2.6,1.44,0.05,18.3,0.9,1.82,0.04,161.94,4.18,,,,,,,,,,0,Forged,No Treatment,FCC,Ductile,N/A,
1,AAA,AAA06,0,35,25,0,5,0,30,5,202.0427935,-46.09,585,0 ,34.9 ,25.6 ,0,5.0 ,0,29.3 ,5.2 ,263.2,13.8,650,66.1,974,22.7,1.5,0.19,20.5,3.3,2.9,0.19,199.06,15.24,,,,,,,,,,0,Forged,No Treatment,FCC,Ductile,N/A,
1,AAA,AAA07,0,55,10,0,10,0,15,10,254.5196106,-124.99,450,0 ,54.7 ,10.3 ,0,10.1 ,0,14.6 ,10.3 ,259.2,15.5,606,29.1,952,7.9,1.57,0.09,24.9,1.1,2.88,0.16,197.23,6.66,,,,,,,,,,0,Forged,No Treatment,FCC,Ductile,N/A,
1,AAA,AAA08,0,10,10,0,25,0,50,5,166.3823782,39.67,805,0 ,10.2 ,10.5 ,0,25.5 ,0,48.4 ,5.3 ,203.9,13.6,447,13.5,660,13.4,1.48,0.06,14.2,2.7,2.15,0.1,187.18,5.81,,,,,,,,,,0,Forged,No Treatment,FCC,Ductile,N/A,
1,AAA,AAA09,5,0,5,0,25,0,60,5,425.7082281,81.81,870,5.5 ,0 ,5.2 ,0,25.5 ,0,58.6 ,5.3 ,195.5,9.2,331,29.2,782,24.5,2.36,0.18,40.1,3.3,2.31,0.09,178.43,2.68,,,,,,,,,,0,Forged,No Treatment,FCC,Ductile,N/A,
1,AAA,AAA10,0,5,15,0,5,0,70,5,171.0651695,79.61,865,0 ,5.2 ,15.5 ,0,5.2 ,0,69.0 ,5.1 ,212.0,9.8,376,14.4,764,27.2,2.03,0.1,28.1,2.1,2.24,0.19,190.61,9.22,,,,,,,,,,0,Forged,No Treatment,FCC,Ductile,N/A,
1,AAA,AAA11,0,15,5,0,45,0,30,5,155.0269204,103.02,745,0 ,15.2 ,5.2 ,0,45.1 ,0,29.3 ,5.2 ,179.6,10.5,364,28.6,547,17.9,1.5,0.11,11.9,0.7,1.91,0.11,162.1,5.64,,,,,,,,,,0,Forged,No Treatment,FCC,Ductile,N/A,
1,AAA,AAA12,5,15,5,0,5,0,65,5,448.2754879,92.67,790,5.3 ,15.2 ,5.3 ,0,5.2 ,0,63.8 ,5.1 ,227.6,5.4,391,41.3,622,87.4,1.59,0.26,16.7,5,2.47,0.07,195.66,3.8,,,,,,,,,,0,Forged,No Treatment,FCC,Ductile,N/A,
1,AAA,AAA13,5,10,5,0,25,0,50,5,430.9015976,61.48,790,5,10.3,5.2,0,25.4,0,49,5.1,207.8,13.7,275,56.2,816,55.2,2.97,0.37,0,8.5,2.32,0.1,167.49,3.85,,,,,,,,,,0,Forged,No Treatment,FCC,Brittle,N/A,
